Date,Team,Notes,Player,Injury Class
2011-01-15,Raptors,sore/sprained left ankle (DNP),Jerryd Bayless,DNP
2011-01-15,Raptors,strained right hamstring (DNP),Leandro Barbosa,DNP
2011-01-16,Spurs,sore right knee (DNP),Matt Bonner,DNP
2011-01-17,Blazers,arthroscopic surgery on both knees (out indefinitely),Brandon Roy,out indefinitely
2011-01-17,Bucks,recovering from surgery on left foot (DNP),Brandon Jennings,DNP
2011-01-17,Bulls,sprained left ankle (DNP),Carlos Boozer,DNP
2011-01-17,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2011-01-17,Grizzlies,sore left knee (DNP),Tony Allen,DNP
2011-01-17,Nets,strained right hamstring (DNP),Anthony Morrow,DNP
2011-01-17,Raptors,sore left ankle (DNP),Jerryd Bayless,DNP
2011-01-17,Raptors,strained right hamstring (DNP),Leandro Barbosa,DNP
2011-01-17,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2011-01-17,Rockets,upper respiratory distress / flu (DNP),Patrick Patterson,DNP
2011-01-18,Bulls,sprained left ankle (DNP),Carlos Boozer,DNP
2011-01-19,Bucks,recovering from surgery on left foot (DNP),Brandon Jennings,DNP
2011-01-19,Bucks,sore right hip (DNP),John Salmons,DNP
2011-01-19,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2011-01-19,Grizzlies,sore left knee (DNP),Tony Allen,DNP
2011-01-19,Raptors,strained right hamstring (DNP),Leandro Barbosa,DNP
2011-01-20,Bulls,sprained left ankle (DNP),Carlos Boozer,DNP
2011-01-20,Blazers,arthroscopic surgery on left knee to repair torn meniscus,Marcus Camby,Other
2011-01-20,Blazers,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP),Marcus Camby,DNP
2011-01-21,Bucks,sore right hip (DNP),John Salmons,DNP
2011-01-21,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2011-01-21,Celtics,hip injury (DTD),Shaquille O'Neal,DTD
2011-01-21,Hornets,right ankle tendinitis / knee tendinitis (CBC) (DNP),Trevor Ariza,DNP
