Date,Team,Notes,Player,Injury Class
2011-01-30,Knicks,sore left calf (DNP),Wilson Chandler,DNP
2011-01-30,Magic,bruised left knee (P) / sore right knee (CBC) (DNP),Gilbert Arenas,DNP
2011-01-30,Pistons,bruised right shoulder (DNP),Rodney Stuckey,DNP
2011-01-30,Suns,surgery on right knee to repair torn ACL and partially torn MCL (out for season),Gani Lawal,out for season
2011-01-31,Cavaliers,bruised left quadriceps (DNP),Daniel Gibson,DNP
2011-01-31,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011-01-31,Jazz,strained tendon in right wrist (DNP),Deron Williams,DNP
2011-01-31,Magic,sore left shoulder (DTD),Jonathan Redick,DTD
2011-01-31,Nets,strained lower back (DNP),Jordan Farmar,DNP
2011-02-01,Kings,sprained right ankle (DNP),Jason Thompson,DNP
2011-02-01,Lakers,bone bruised in left knee (DNP),Andrew Bynum,DNP
2011-02-02,Bucks,flu (DNP),Keyon Dooling,DNP
2011-02-02,Bucks,illness (DNP),Larry Sanders,DNP
2011-02-02,Cavaliers,bruised left quadriceps (DNP),Daniel Gibson,DNP
2011-02-02,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011-02-02,Jazz,sprained left ankle (DNP),Andrei Kirilenko,DNP
2011-02-02,Jazz,strained tendon in right wrist (DNP),Deron Williams,DNP
2011-02-02,Pistons,sore back (DNP),Jason Maxiell,DNP
2011-02-02,Rockets,sprained ankle (DNP),Jordan Hill,DNP
2011-02-03,Bucks,DNP,Chris Douglas-Roberts,Other
2011-02-03,Magic,sprained left ankle (DNP),Brandon Bass,DNP
2011-02-03,Raptors,microfracture surgery on right knee to repair cartilage damage (out for season),Linas Kleiza,out for season
2011-02-04,Celtics,sore right leg / Achilles tendon (CBC) (DNP),Shaquille O'Neal,DNP
2011-02-04,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011-02-04,Jazz,sprained left ankle (DNP),Andrei Kirilenko,DNP
2011-02-04,Kings,torn patella tendon in left knee (out for season),Hassan Whiteside,out for season
2011-02-04,Kings,sprained right ankle (DNP),Jason Thompson,DNP
2011-02-04,Magic,sprained left ankle (DNP),Brandon Bass,DNP
2011-02-04,Pistons,sore back (DNP),Jason Maxiell,DNP
2011-02-04,Raptors,sprained right knee (DTD),Jerryd Bayless,DTD
2011-02-04,Timberwolves,left ankle injury (DTD),Michael Beasley,DTD
2011-02-05,Blazers,facial injury (DNP),Dante Cunningham,DNP
2011-02-05,Hornets,sprained right ankle (DNP),Trevor Ariza,DNP
2011-02-05,Jazz,sprained left ankle (DNP),Andrei Kirilenko,DNP
2011-02-05,Pistons,sore back (DNP),Jason Maxiell,DNP
2011-02-05,Timberwolves,returned to lineup,Michael Beasley,returned to lineup
2011-02-06,Celtics,bruised spinal cord (out indefinitely),Marquis Daniels,out indefinitely
2011-02-06,Celtics,sore right leg (DNP),Shaquille O'Neal,DNP
2011-02-06,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011-02-06,Magic,sprained left ankle (DNP),Brandon Bass,DNP
2011-02-07,Celtics,strained right adductor (DNP),Semih Erden,DNP
2011-02-07,Celtics,sore right leg (DNP),Shaquille O'Neal,DNP
2011-02-07,Jazz,left knee injury (DTD),Francisco Elson,DTD
2011-02-08,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011-02-08,Magic,sprained left ankle (DNP),Brandon Bass,DNP
2011-02-08,Mavericks,stress fracture in fifth metatarsal in right foot (out indefinitely),Dominique Jones,out indefinitely
2011-02-08,Pistons,sore groin (DNP),Chris Wilcox,DNP
2011-02-08,Pistons,sore groin (DNP),Richard Hamilton,DNP
2011-02-08,Raptors,sore left foot (DNP),Alexis Ajinca,DNP
2011-02-08,Timberwolves,strained left hip flexor (DNP),Darko Milicic,DNP
2011-02-08,Timberwolves,sprained left ankle (DNP),Michael Beasley,DNP
2011-02-09,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011-02-09,Jazz,left knee inflammation (DNP),Francisco Elson,DNP
2011-02-09,Magic,sprained left ankle (DNP),Brandon Bass,DNP
2011-02-09,Pistons,sore groin (DNP),Richard Hamilton,DNP
2011-02-09,Wizards,dislocated right middle finger (DNP),Al Thornton,DNP
2011-02-09,Wizards,sprained left ankle (DNP),Yi Jianlian,DNP
2011-02-10,Celtics,strained right adductor (DNP),Semih Erden,DNP
2011-02-10,Celtics,sore right leg (DNP),Shaquille O'Neal,DNP
2011-02-11,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011-02-11,Jazz,strained left calf (DNP),Raja Bell,DNP
2011-02-11,Jazz,sprained right big toe (DNP),Ronnie Price,DNP
2011-02-11,Magic,sprained left ankle (DNP),Brandon Bass,DNP
2011-02-11,Mavericks,surgery on right foot to repair stress fracture in fifth metatarsal (out indefinitely),Dominique Jones,out indefinitely
2011-02-11,Pistons,sore groin (DNP),Richard Hamilton,DNP
2011-02-11,Raptors,sore left foot (DNP),Alexis Ajinca,DNP
2011-02-11,Spurs,strained left hamstring (DNP),Tiago Splitter,DNP
2011-02-11,Timberwolves,strained left hip flexor (DNP),Darko Milicic,DNP
2011-02-11,Timberwolves,sprained left ankle (DNP),Michael Beasley,DNP
2011-02-11,Bucks,back spasms (DNP),Larry Sanders,DNP
2011-02-12,Cavaliers,surgery on right ankle to repair torn tendon (date approximate),Anderson Varejao,Other
2011-02-12,Spurs,strained left hamstring (DNP),Tiago Splitter,DNP
2011-02-12,Timberwolves,strained left hip flexor (DNP),Darko Milicic,DNP
2011-02-13,Celtics,strained right adductor (DNP),Semih Erden,DNP
2011-02-13,Celtics,sore right leg (DNP),Shaquille O'Neal,DNP
2011-02-13,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011-02-13,Kings,sore right knee (DTD),Luther Head,DTD
2011-02-13,Warriors,back spasms (DTD),Dan Gadzuric,DTD
2011-02-14,Clippers,fractured right wrist (DNP),Eric Gordon,DNP
2011-02-15,Bobcats,groin injury (DNP),Eduardo Najera,DNP
2011-02-15,Heat,surgery on right knee to repair cartilage (out indefinitely),Dexter Pittman,out indefinitely
2011-02-15,Jazz,sprained right ankle (DNP),Andrei Kirilenko,DNP
2011-02-15,Jazz,strained left calf (DNP),Raja Bell,DNP
2011-02-15,Jazz,sprained right big toe (DNP),Ronnie Price,DNP
2011-02-15,Kings,plantar fasciitis in right foot (DNP),Tyreke Evans,DNP
2011-02-16,Bucks,right eye contusion (DNP),Ersan Ilyasova,DNP
2011-02-16,Bucks,sore left knee (DNP),Keyon Dooling,DNP
2011-02-16,Celtics,sore right leg (DNP),Shaquille O'Neal,DNP
2011-02-16,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011-02-16,Grizzlies,partially dislocated left shoulder (out indefinitely),Rudy Gay,out indefinitely
2011-02-16,Jazz,sprained right ankle (DNP),Andrei Kirilenko,DNP
2011-02-16,Jazz,strained left calf (DNP),Raja Bell,DNP
2011-02-16,Jazz,sprained right big toe (DNP),Ronnie Price,DNP
2011-02-16,Kings,plantar fasciitis in right foot (DNP),Tyreke Evans,DNP
2011-02-17,Mavericks,illness (DTD),Jose Barea,DTD
2011-02-17,Spurs,strained left hamstring (DNP),Tiago Splitter,DNP
2011-02-21,Kings,left calf injury (DNP),Francisco Garcia,DNP
2011-02-22,Bobcats,returned to lineup,Eduardo Najera,returned to lineup
2011-02-22,Bucks,returned to lineup,Ersan Ilyasova,returned to lineup
2011-02-22,Celtics,returned to lineup,Semih Erden,returned to lineup
2011-02-23,Blazers,left hand injury (DTD),Sean Marks,DTD
2011-02-23,Jazz,sprained right big toe (DNP),Ronnie Price,DNP
2011-02-23,Kings,plantar fasciitis in left foot (DNP) (P),Tyreke Evans,DNP
2011-02-23,Suns,illness (DTD),Zabian Dowdell,DTD
2011-02-25,Blazers,DNP,Gerald Wallace,Other
2011-02-25,Bobcats,DNP,Dewayne White,Other
2011-02-25,Nuggets,sprained ankle (DTD),Melvin Ely,DTD
2011-02-25,Spurs,concussion symptoms (DNP),Gary Neal,DNP
2011-02-25,Suns,returned to lineup,Zabian Dowdell,returned to lineup
2011-02-25,Timberwolves,sore back (DNP),Martell Webster,DNP
2011-02-25,Bobcats,ruptured right Achilles tendon (DNP),DeSagana Diop,DNP
2011-02-25,Bobcats,torn meniscus in right knee (DNP),Tyrus Thomas,DNP
2011-02-25,Kings,strained left calf (DNP),Francisco Garcia,DNP
2011-02-26,Bucks,concussion (DNP),Ersan Ilyasova,DNP
2011-02-26,Kings,strained left calf (DNP),Francisco Garcia,DNP
2011-02-26,Nets,strained lower back (DNP),Quinton Ross,DNP
2011-02-26,Pistons,back injury / illness (P) (DNP),Tayshaun Prince,DNP
2011-02-26,Pistons,headache (DNP),Tracy McGrady,DNP
2011-02-27,Bobcats,torn meniscus in right knee (DNP),Tyrus Thomas,DNP
2011-02-27,Cavaliers,broken left little finger (out indefinitely),Antawn Jamison,out indefinitely
2011-02-27,Raptors,flu (DNP),Andrea Bargnani,DNP
2011-02-27,Spurs,concussion symptoms (DNP),Gary Neal,DNP
2011-02-28,Cavaliers,surgery to repair broken left little finger (out indefinitely),Antawn Jamison,out indefinitely
2011-02-28,Celtics,sprained right ankle (DNP),Delonte West,DNP
2011-02-28,Hawks,sore right calf (DNP),Kirk Hinrich,DNP
2011-02-28,Kings,strained left calf (DNP),Francisco Garcia,DNP
2011-02-28,Spurs,strained left calf muscle (out indefinitely),William Parker,out indefinitely
2011-03-01,Blazers,illness / flu (DNP),Rudy Fernandez,DNP
2011-03-01,Bucks,strained left rib muscle (DNP),Andrew Bogut,DNP
2011-03-01,Bucks,flu (DNP),Luc Moute,DNP
2011-03-01,Magic,sore left knee (DNP),Gilbert Arenas,DNP
2011-03-01,Pistons,sore SI joint (DNP),Tayshaun Prince,DNP
2011-03-02,Cavaliers,quadriceps injury (DTD),Daniel Gibson,DTD
2011-03-02,Cavaliers,groin injury (DTD),Semih Erden,DTD
2011-03-02,Hawks,sprained MCL in right knee (DTD),Josh Smith,DTD
2011-03-03,Celtics,patellar tendinitis in left knee (out indefinitely),Glen Davis,out indefinitely
2011-03-03,Jazz,cold (DNP),Derrick Favors,DNP
2011-03-03,Thunder,arthroscopic surgery on right knee (out indefinitely),Nate Robinson,out indefinitely
2011-03-04,Bucks,concussion (DNP),Ersan Ilyasova,DNP
2011-03-04,Bucks,stomach virus (DNP),Luc Moute,DNP
2011-03-04,Cavaliers,strained right adductor muscle (DNP),Semih Erden,DNP
2011-03-04,Celtics,patellar tendinitis in left knee (DNP),Glen Davis,DNP
2011-03-04,Hornets,strained abductor muscle (DNP),Trevor Ariza,DNP
2011-03-04,Timberwolves,illness (DTD),Sebastian Telfair,DTD
2011-03-04,Timberwolves,gastroenteritis / food poisoning (DNP),Wesley Johnson,DNP
2011-03-05,Bobcats,strained left hamstring (DNP),Stephen Jackson,DNP
2011-03-05,Kings,surgery on left knee to repair torn patella tendon (out for season),Hassan Whiteside,out for season
2011-03-05,Kings,sore back (DNP),Omri Casspi,DNP
2011-03-05,Timberwolves,flu (DNP),Wesley Johnson,DNP
2011-03-06,Bucks,concussion (DNP),Ersan Ilyasova,DNP
2011-03-06,Celtics,strained patellar tendon in left knee (DNP),Glen Davis,DNP
2011-03-06,Celtics,sprained right calf (DNP),Von Wafer,DNP
2011-03-06,Hornets,strained groin (DNP),Trevor Ariza,DNP
2011-03-06,Wizards,right knee tendinitis (DNP),Rashard Lewis,DNP
2011-03-07,Hornets,concussion (DNP),Chris Paul,DNP
2011-03-07,Hornets,strained groin (DNP),Trevor Ariza,DNP
2011-03-07,Jazz,sprained left ankle (DNP),Francisco Elson,DNP
2011-03-07,Jazz,back spasms (DNP),Kyrylo Fesenko,DNP
2011-03-07,Magic,flu (DNP),Chris Duhon,DNP
2011-03-07,Suns,dislocated right shoulder (out indefinitely),Channing Frye,out indefinitely
2011-03-08,Bucks,concussion (DNP),Ersan Ilyasova,DNP
2011-03-08,Cavaliers,right hip pointer (DNP),Luke Harangody,DNP
2011-03-08,Wizards,patella tendinitis in right knee (DNP),Cartier Martin,DNP
2011-03-09,Bobcats,sore right knee (DNP),Joel Przybilla,DNP
2011-03-09,Bobcats,sprained left ankle (DNP),Matt Carroll,DNP
2011-03-09,Bucks,concussion (DNP),Ersan Ilyasova,DNP
2011-03-09,Celtics,strained patellar tendon in left knee (DNP),Glen Davis,DNP
2011-03-09,Celtics,strained right calf (DNP),Von Wafer,DNP
2011-03-09,Jazz,back spasms (DNP),Andrei Kirilenko,DNP
2011-03-09,Jazz,patellar tendinitis in left knee (DNP),Paul Millsap,DNP
2011-03-09,Kings,flu (DNP),Beno Udrih,DNP
2011-03-09,Raptors,sore right knee (DNP),Alexis Ajinca,DNP
2011-03-11,Celtics,strained patellar tendon in left knee (DNP),Glen Davis,DNP
2011-03-11,Celtics,strained right calf (DNP),Von Wafer,DNP
2011-03-11,Jazz,patellar tendinitis in left knee (DNP),Paul Millsap,DNP
2011-03-11,Kings,flu (DNP),Beno Udrih,DNP
2011-03-11,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011-03-11,Raptors,sore right knee (DNP),Alexis Ajinca,DNP
2011-03-12,Bucks,concussion (DNP),Ersan Ilyasova,DNP
2011-03-12,Jazz,patellar tendinitis in left knee (DNP),Paul Millsap,DNP
2011-03-12,Kings,flu (DNP),Beno Udrih,DNP
2011-03-12,Wizards,patella tendinitis in right knee (DNP),Cartier Martin,DNP
2011-03-13,Celtics,strained right calf (DNP),Von Wafer,DNP
2011-03-13,Knicks,illness (DTD),Anthony Carter,DTD
2011-03-13,Suns,pubic symphysis (DNP),Steve Nash,DNP
2011-03-14,Celtics,strained right calf (DNP),Von Wafer,DNP
2011-03-14,Jazz,sprained left foot (DNP),Gordon Hayward,DNP
2011-03-14,Jazz,patellar tendinitis in left knee (DNP),Paul Millsap,DNP
2011-03-14,Rockets,lower abdomen stress (DNP),Terrence Williams,DNP
2011-03-14,Suns,pubic symphysis (DNP),Steve Nash,DNP
2011-03-14,Wizards,patella tendinitis in right knee (DNP),Cartier Martin,DNP
2011-03-15,Bulls,flu (DNP),Joakim Noah,DNP
2011-03-15,Mavericks,stiff lower back (DNP),Brendan Haywood,DNP
2011-03-15,Rockets,surgery to relieve lower abdomen stress (out indefinteily),Terrence Williams,Other
2011-03-15,Wizards,patella tendinitis in right knee (DNP),Cartier Martin,DNP
2011-03-15,Wizards,left knee tendinitis (DNP),Josh Howard,DNP
2011-03-15,Wizards,bruised left knee (DNP),Nick Young,DNP
2011-03-16,Bucks,migraine headache (DNP),Andrew Bogut,DNP
2011-03-16,Jazz,patellar tendinitis in left knee (DNP),Paul Millsap,DNP
2011-03-16,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011-03-16,Mavericks,stiff lower back (DNP),Brendan Haywood,DNP
2011-03-16,Rockets,lower abdomen stress (DNP),Terrence Williams,DNP
2011-03-18,Bucks,sprained right ankle (DNP),Chris Douglas-Roberts,DNP
2011-03-18,Kings,sore right calf (DNP),Luther Head,DNP
2011-03-18,Magic,sore left knee (DNP),Gilbert Arenas,DNP
2011-03-18,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011-03-18,Wizards,strained right shoulder (DNP),Andray Blatche,DNP
2011-03-18,Wizards,bruised left knee (DNP),Nick Young,DNP
2011-03-19,Blazers,right knee inflammation (DTD),Armon Johnson,DTD
2011-03-19,Bobcats,sprained left ankle (DNP),Garrett Temple,DNP
2011-03-19,Cavaliers,back spasms (DNP),Baron Davis,DNP
2011-03-19,Nuggets,right Achilles tendon injury (DTD),Al Harrington,DTD
2011-03-20,Wizards,bruised left knee (DNP),Nick Young,DNP
2011-03-21,Cavaliers,back spasms (DNP),Baron Davis,DNP
2011-03-21,Heat,sprained right knee (out indefinitely),Mario Chalmers,out indefinitely
2011-03-21,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011-03-21,Nets,sore right foot (DNP),Damion James,DNP
2011-03-21,Spurs,sprained left ankle (out indefinitely),Tim Duncan,out indefinitely
2011-03-22,Blazers,sprained right ankle (DNP),Marcus Camby,DNP
2011-03-22,Blazers,returned to lineup,Armon Johnson,returned to lineup
2011-03-22,Wizards,bruised left knee (DNP),Nick Young,DNP
2011-03-23,Cavaliers,back spasms (DNP),Baron Davis,DNP
2011-03-23,Heat,sprained right knee (DNP),Mario Chalmers,DNP
2011-03-23,Jazz,bruised left knee (DTD),Andrei Kirilenko,DTD
2011-03-23,Jazz,sprained left ankle (DNP),Derrick Favors,DNP
2011-03-23,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011-03-23,Nets,sore right foot (DNP),Damion James,DNP
2011-03-23,Pistons,left knee injury (DTD),Ben Wallace,DTD
2011-03-23,Rockets,sprained left ankle (DTD),Chase Budinger,DTD
2011-03-23,Timberwolves,strained left groin (DTD),Kevin Love,DTD
2011-03-23,Wizards,bruised left knee (DNP),Nick Young,DNP
2011-03-24,Jazz,nerve damage in left knee (DNP),Andrei Kirilenko,DNP
2011-03-25,Bobcats,bruised ribs (DNP),Tyrus Thomas,DNP
2011-03-25,Celtics,sprained right ankle (DNP),Troy Murphy,DNP
2011-03-25,Grizzlies,surgery to repair partially dislocated left shoulder (out for season),Rudy Gay,out for season
2011-03-25,Heat,sprained right knee (DNP),Mario Chalmers,DNP
2011-03-25,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011-03-25,Magic,back spasms (DNP),Quentin Richardson,DNP
2011-03-25,Raptors,sore left ankle (DNP),Amir Johnson,DNP
2011-03-25,Raptors,sore right foot (DNP),Reggie Evans,DNP
2011-03-26,Bobcats,bruised ribs (DNP),Tyrus Thomas,DNP
2011-03-26,Jazz,nerve damage in left knee (DNP),Andrei Kirilenko,DNP
2011-03-26,Nets,sore right foot (DNP),Damion James,DNP
2011-03-26,Pistons,sore back (DNP),Tracy McGrady,DNP
2011-03-26,Raptors,sore right ankle (DNP),Andrea Bargnani,DNP
2011-03-27,Celtics,right finger injury (DNP),Rajon Rondo,DNP
2011-03-27,Celtics,sprained right ankle (DNP),Troy Murphy,DNP
2011-03-27,Timberwolves,hip injury (DNP),Nikola Pekovic,DNP
2011-03-27,Wizards,sore right foot (DNP),Trevor Booker,DNP
2011-03-28,76ers,illness (DTD),Tony Battie,DTD
2011-03-28,Celtics,sprained right ankle (DNP),Troy Murphy,DNP
2011-03-28,Jazz,nerve damage in left knee (DNP),Andrei Kirilenko,DNP
2011-03-28,Jazz,migraine headache (DNP),Kyrylo Fesenko,DNP
2011-03-28,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011-03-28,Magic,sprained left knee (DNP),Jameer Nelson,DNP
2011-03-28,Spurs,bruised left patella (DNP),William Parker,DNP
2011-03-28,Spurs,bruised lower back (DNP),Antonio McDyess,DNP
2011-03-28,Wizards,bruised left knee (DNP),Nick Young,DNP
2011-03-28,Wizards,sore right foot (DNP),Trevor Booker,DNP
2011-03-29,Cavaliers,wrist injury (DTD),Samardo Samuels,DTD
2011-03-29,Heat,bruised left knee (DNP),Mike Miller,DNP
2011-03-29,Nets,sore right foot (DNP),Damion James,DNP
2011-03-29,Thunder,sprained left ankle (DNP),Nick Collison,DNP
2011-03-30,Bobcats,sore left knee (DNP),Tyrus Thomas,DNP
2011-03-30,Bucks,back spasms (DNP),Larry Sanders,DNP
2011-03-30,Cavaliers,sprained right wrist (DNP),Samardo Samuels,DNP
2011-03-30,Heat,bruised left knee (DNP),Mike Miller,DNP
2011-03-30,Kings,surgery on back (out for season),Marquis Daniels,out for season
2011-03-30,Magic,sprained right thumb (DNP),Chris Duhon,DNP
2011-03-30,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011-03-30,Nets,sore left knee (DNP),Ben Uzoh,DNP
2011-03-30,Wizards,bruised left knee (DNP),Nick Young,DNP
2011-03-31,Bobcats,surgery on knee to remove wires that were inserted to help heal torn patella tendon (out for season) (date approximate),Joel Przybilla,out for season
2011-04-01,76ers,returned to lineup,Tony Battie,returned to lineup
2011-04-01,Bobcats,strained left hamstring (DNP),Stephen Jackson,DNP
2011-04-01,Bobcats,sore left knee (DNP),Tyrus Thomas,DNP
2011-04-01,Cavaliers,sprained right wrist (DNP),Samardo Samuels,DNP
2011-04-01,Jazz,sprained/bruised right foot (DNP),Raja Bell,DNP
2011-04-01,Jazz,bruised left shin (DNP),Ronnie Price,DNP
2011-04-01,Magic,sprained right thumb (DNP),Chris Duhon,DNP
2011-04-01,Magic,flu (DNP),Gilbert Arenas,DNP
2011-04-01,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011-04-01,Suns,flu-like symptoms (DNP),Steve Nash,DNP
2011-04-01,Wizards,bruised left knee (DNP),Nick Young,DNP
2011-04-02,Bucks,bruised right chest/ribs (DNP),Carlos Delfino,DNP
2011-04-02,Clippers,sore knee (DNP),Ryan Gomes,DNP
2011-04-02,Raptors,sore right ankle (DNP),Andrea Bargnani,DNP
2011-04-02,Timberwolves,sprained left ankle (DNP),Darko Milicic,DNP
2011-04-02,Timberwolves,strained left groin (DNP),Kevin Love,DNP
2011-04-03,Bobcats,lower back spasms (DNP),Eduardo Najera,DNP
2011-04-03,Bobcats,strained left hamstring (DNP),Stephen Jackson,DNP
2011-04-03,Bobcats,sore left knee (DNP),Tyrus Thomas,DNP
2011-04-03,Jazz,sprained/bruised right foot (DNP),Raja Bell,DNP
2011-04-03,Jazz,bruised left shin (DNP),Ronnie Price,DNP
2011-04-03,Magic,sprained right thumb (DNP),Chris Duhon,DNP
2011-04-03,Magic,flu (DNP),Gilbert Arenas,DNP
2011-04-03,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011-04-03,Nuggets,hamstring injury (DTD),Arron Afflalo,DTD
2011-04-03,Suns,flu (DNP),Steve Nash,DNP
2011-04-03,Wizards,strained left patella tendon (DNP),Hamady Ndiaye,DNP
2011-04-03,Wizards,bruised left knee (DNP),Nick Young,DNP
2011-04-05,Bobcats,lower back spasms (DNP),Eduardo Najera,DNP
2011-04-05,Bobcats,strained left hamstring (DNP),Stephen Jackson,DNP
2011-04-05,Bobcats,sore left knee (DNP),Tyrus Thomas,DNP
2011-04-05,Cavaliers,strained left groin (DNP),Samardo Samuels,DNP
2011-04-05,Jazz,fractured right thumb (DNP),Kyrylo Fesenko,DNP
2011-04-05,Jazz,sprained/bruised right foot (DNP),Raja Bell,DNP
2011-04-05,Jazz,bruised left shin (DNP),Ronnie Price,DNP
2011-04-05,Magic,lower abdominal strain (DNP),Jonathan Redick,DNP
2011-04-05,Nets,left knee tendinitis (DTD),Anthony Morrow,DTD
