season,player,salary
2005-2006,Trenton Hassell,4350000
2005-2006,Andrew Bogut,4340520
2005-2006,Raja Bell,4250000
2005-2006,Damon Stoudamire,4250000
2005-2006,Moochie Norris,4200000
2005-2006,Eduardo Najera,4190476
2005-2006,Darko Milicic,4135200
2005-2006,Drew Gooden,4065811
2005-2006,Emeka Okafor,4020120
2005-2006,Gordan Giricek,4000000
2005-2006,Brendan Haywood,4000000
2005-2006,Sarunas Jasikevicius,4000000
2005-2006,Carlos Arroyo,4000000
2005-2006,Eric Williams,3938000
2005-2006,Marvin Williams,3883000
2005-2006,Rafer Alston,3850000
2005-2006,Chris Mihm,3792817
2005-2006,Carmelo Anthony,3713640
2005-2006,Kyle Korver,3636364
2005-2006,Ben Gordon,3610200
2005-2006,Speedy Claxton,3600000
2005-2006,Damon Jones,3596924
2005-2006,Voshon Lenard,3520000
2005-2006,Bob Sura,3520000
2005-2006,Dale Davis,3500000
2005-2006,Tyronn Lue,3500000
2005-2006,Deron Williams,3487440
2005-2006,Mike James,3410000
2005-2006,Jeff McInnis,3400000
2005-2006,Aaron Williams,3375000
2005-2006,Bruce Bowen,3375000
2005-2006,Bobby Jackson,3375000
2005-2006,Chris Bosh,3348000
2005-2006,Vitaly Potapenko,3325416
2005-2006,Shaun Livingston,3254880
2005-2006,Pat Garrity,3231250
2005-2006,Othella Harrington,3200000
2005-2006,Vladimir Radmanovic,3166154
2005-2006,Chris Paul,3144240
2005-2006,Keyon Dooling,3100000
2005-2006,Nene Hilario,3039889
2005-2006,Dwyane Wade,3031920
2005-2006,Zeljko Rebraca,3000000
2005-2006,Kareem Rush,3000000
2005-2006,Robert Horry,3000000
2005-2006,Slava Medvedenko,3000000
2005-2006,Kevin Ollie,2950200
2005-2006,Ira Newble,2950200
2005-2006,Devin Harris,2947440
2005-2006,Tony Delk,2925000
2005-2006,Jake Tsakalidis,2900000
2005-2006,Raymond Felton,2847360
2005-2006,Steven Hunter,2844828
2005-2006,Chris Wilcox,2812239
2005-2006,Chris Duhon,2800000
2005-2006,Andres Nocioni,2775000
2005-2006,Chris Kaman,2753760
2005-2006,Primoz Brezec,2750000
2005-2006,Earl Boykins,2750000
2005-2006,DeShawn Stevenson,2750000
2005-2006,Josh Childress,2677200
2005-2006,Michael Finley,2675000
2005-2006,Michael Doleac,2640000
2005-2006,Jim Jackson,2640000
2005-2006,Amar'e Stoudemire,2589023
2005-2006,Brian Scalabrine,2586207
2005-2006,Martell Webster,2586120
2005-2006,Kirk Hinrich,2513880
2005-2006,Bostjan Nachbar,2500000
2005-2006,Clifford Robinson,2500000
2005-2006,Juan Dixon,2500000
2005-2006,Caron Butler,2461617
2005-2006,Luol Deng,2443920
2005-2006,Jared Jeffries,2433824
