Year,Name,player_height,player_weight,gp,net_rating
1996,Rony Seikaly,210.82,114.758776,74.0,-1.7
1996,Roy Rogers,208.28,106.59412,82.0,-13.6
1996,Ruben Nembhard,190.5,94.347136,10.0,-0.3
1996,Rumeal Robinson,187.96,88.45044,54.0,4.5
1996,Sam Cassell,190.5,83.91452,61.0,-1.7
1996,Sam Mack,200.66,99.79024,52.0,-1.7
1996,Sam Mitchell,200.66,97.52228,82.0,-4.9
1996,Sam Perkins,205.74,115.66596,81.0,10.6
1996,Samaki Walker,205.74,108.86208,43.0,-12.6
1996,Sarunas Marciulionis,195.58,90.7184,17.0,-7.6
1996,Sasha Danilovic,198.12,90.7184,56.0,1.5
1996,Scott Brooks,180.34,74.84268,38.0,3.8
1996,Scott Burrell,200.66,102.511792,57.0,1.4
1996,Scott Williams,208.28,104.32616,62.0,-4.6
1996,Scottie Pippen,200.66,103.418976,82.0,13.5
1996,Sean Elliott,203.2,99.79024,39.0,-5.7
1996,Sean Rooks,208.28,117.93392,69.0,1.3
1996,Sedale Threatt,187.96,83.91452,21.0,-3.5
1996,Shandon Anderson,198.12,94.347136,65.0,2.5
1996,Shane Heal,182.88,81.64656,43.0,-0.7
1996,Shaquille O'Neal,215.9,136.0776,51.0,6.9
1996,Shareef Abdur-Rahim,205.74,104.32616,80.0,-12.3
1996,Sharone Wright,210.82,117.93392,60.0,-9.3
1996,Shawn Bradley,228.6,112.490816,73.0,-5.9
1996,Shawn Kemp,208.28,116.119552,81.0,8.9
1996,Shawn Respert,187.96,83.91452,41.0,-4.1
1996,Shawnelle Scott,210.82,113.398,16.0,6.8
1996,Sherman Douglas,185.42,88.45044,79.0,-3.0
1996,Stacey Augmon,203.2,92.98636,60.0,6.0
1996,Stacey King,210.82,113.398,11.0,-18.7
1996,Stanley Roberts,213.36,131.54168,18.0,2.6
1996,Stephen Howard,205.74,111.13004,49.0,0.1
1996,Stephon Marbury,187.96,81.64656,67.0,-3.1
1996,Steve Hamer,213.36,111.13004,35.0,-3.1
1996,Steve Kerr,190.5,81.64656,82.0,10.1
1996,Steve Nash,190.5,88.45044,65.0,-8.5
1996,Steve Scheffler,205.74,113.398,7.0,-19.9
1996,Steven Smith,203.2,97.52228,72.0,7.4
1996,Stevin Smith,187.96,94.347136,8.0,-6.8
1996,Stojko Vrankovic,218.44,117.93392,53.0,-7.1
1996,Terrell Brandon,180.34,81.64656,78.0,2.7
1996,Terry Cummings,205.74,113.398,45.0,1.3
1996,Terry Dehere,193.04,86.18248,73.0,-0.5
1996,Terry Mills,208.28,113.398,79.0,11.4
1996,Terry Porter,190.5,88.45044,82.0,2.1
1996,Theo Ratliff,208.28,102.0582,76.0,7.3
1996,Tim Hardaway,182.88,88.45044,81.0,8.9
1996,Tim Kempton,208.28,111.13004,10.0,-6.2
1996,Tim Legler,193.04,90.7184,15.0,-3.5
1996,Todd Day,198.12,85.275296,81.0,-7.8
1996,Todd Fuller,210.82,115.66596,75.0,-8.6
1996,Tom Chambers,208.28,99.79024,12.0,-33.6
1996,Tom Gugliotta,208.28,108.86208,81.0,-2.0
1996,Tom Hammonds,205.74,102.0582,81.0,-7.3
1996,Toni Kukoc,210.82,105.233344,57.0,15.2
1996,Tony Delk,187.96,85.728888,61.0,0.9
1996,Tony Dumas,198.12,86.18248,24.0,-4.1
1996,Tony Massenburg,205.74,113.398,79.0,-6.2
1996,Tony Smith,193.04,92.98636,69.0,0.7
1996,Tracy Moore,193.04,90.7184,27.0,-7.7
1996,Tracy Murray,200.66,103.418976,82.0,1.9
1996,Travis Best,180.34,82.553744,76.0,2.5
1996,Travis Knight,213.36,106.59412,71.0,6.2
