,Year,Name,Salary%,Physical Cluster,Reg Performance Cluster,Adv Performance Cluster,PER Cluster
436,2011,LaMarcus Aldridge,24.119633381572598,1,3,0,2
437,2011,Lamar Odom,15.333195506856867,1,0,3,1
438,2011,Lance Stephenson,1.3954930742195577,0,1,0,0
439,2011,Larry Owens,0.03839673351250776,0,1,0,3
440,2011,Lazar Hayward,1.8908414306388257,1,1,0,0
441,2011,LeBron James,30.227069119977948,1,3,1,2
442,2011,Leandro Barbosa,13.093515264282267,0,0,1,1
443,2011,Lester Hudson,0.08309558266142926,0,1,0,0
444,2011,Linas Kleiza,7.925022396802426,1,2,3,0
445,2011,Lou Williams,8.917373027358554,0,0,1,1
446,2011,Luis Scola,14.802206946454413,1,3,0,1
447,2011,Luke Babbitt,3.2600785610915866,1,1,0,0
448,2011,Luke Ridnour,6.3400179174419415,0,2,3,3
449,2011,Luke Walton,10.287649024877679,1,1,0,0
450,2011,Luol Deng,21.23389153056302,1,0,2,1
451,2011,Manny Harris,0.4341809661636001,0,1,3,0
452,2011,Manu Ginobili,24.304823926676317,0,0,2,2
453,2011,Marc Gasol,22.262755840396935,1,2,0,1
454,2011,Marcin Gortat,12.50596099510716,1,2,0,1
455,2011,Marco Belinelli,5.819040727723795,0,2,2,3
456,2011,Marcus Camby,19.34265384880436,1,2,0,3
457,2011,Marcus Thornton,12.964302942595275,0,0,3,1
458,2011,Mario Chalmers,6.891323823306457,0,1,1,0
459,2011,Marreese Speights,4.6882623526979526,1,1,0,1
460,2011,Martell Webster,9.055199503824683,1,2,3,3
461,2011,Marvin Williams,12.921232168699607,1,2,3,3
462,2011,Matt Barnes,3.284060367996692,1,1,3,3
