Year,Team,Notes,Name,Injury Class
2011,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2011,Spurs,sprained right thumb (DNP),George Hill,DNP
2011,Bucks,strained right hip (DNP),John Salmons,DNP
2011,Cavaliers,strained lower back (DNP),Anthony Parker,DNP
2011,Raptors,strained right patella tendon (DNP),Joey Dorsey,DNP
2011,Raptors,flu-like symptoms / ankle injury (CBC) (DNP),Jose Calderon,DNP
2011,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2011,Celtics,sore right leg (DNP),Shaquille O'Neal,DNP
2011,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011,Bucks,strained right hip (DNP),John Salmons,DNP
2011,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011,Nuggets,left knee injury (DNP),Kenyon Martin,DNP
2011,Celtics,sore right hip (DNP),Shaquille O'Neal,DNP
2011,Bucks,strained right hip (DNP),John Salmons,DNP
2011,Heat,sprained right wrist (DNP),Dwyane Wade,DNP
2011,Jazz,strained tendon in right wrist (DNP),Deron Williams,DNP
2011,Jazz,strained lower back (DTD),Mehmet Okur,DTD
2011,Nets,strained lower back (DNP),Jordan Farmar,DNP
2011,Pistons,bruised right shoulder (DNP),Rodney Stuckey,DNP
2011,Wizards,sprained right ankle (DNP),Kirk Hinrich,DNP
2011,Bucks,strained right hip (DNP),John Salmons,DNP
2011,Nets,strained lower back (DNP),Jordan Farmar,DNP
2011,Wizards,right leg injury (DTD),Mustafa Shakur,DTD
2011,Jazz,strained tendon in right wrist (DNP),Deron Williams,DNP
2011,Knicks,sore left calf (DNP),Wilson Chandler,DNP
2011,Magic,bruised left knee (P) / sore right knee (CBC) (DNP),Gilbert Arenas,DNP
2011,Pistons,bruised right shoulder (DNP),Rodney Stuckey,DNP
2011,Suns,surgery on right knee to repair torn ACL and partially torn MCL (out for season),Gani Lawal,out for season
2011,Cavaliers,bruised left quadriceps (DNP),Daniel Gibson,DNP
2011,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011,Jazz,strained tendon in right wrist (DNP),Deron Williams,DNP
2011,Magic,sore left shoulder (DTD),Jonathan Redick,DTD
2011,Nets,strained lower back (DNP),Jordan Farmar,DNP
2011,Kings,sprained right ankle (DNP),Jason Thompson,DNP
2011,Lakers,bone bruised in left knee (DNP),Andrew Bynum,DNP
2011,Bucks,flu (DNP),Keyon Dooling,DNP
2011,Bucks,illness (DNP),Larry Sanders,DNP
2011,Cavaliers,bruised left quadriceps (DNP),Daniel Gibson,DNP
2011,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011,Jazz,sprained left ankle (DNP),Andrei Kirilenko,DNP
2011,Jazz,strained tendon in right wrist (DNP),Deron Williams,DNP
2011,Pistons,sore back (DNP),Jason Maxiell,DNP
2011,Rockets,sprained ankle (DNP),Jordan Hill,DNP
2011,Bucks,DNP,Chris Douglas-Roberts,Other
2011,Magic,sprained left ankle (DNP),Brandon Bass,DNP
2011,Raptors,microfracture surgery on right knee to repair cartilage damage (out for season),Linas Kleiza,out for season
2011,Celtics,sore right leg / Achilles tendon (CBC) (DNP),Shaquille O'Neal,DNP
2011,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011,Jazz,sprained left ankle (DNP),Andrei Kirilenko,DNP
2011,Kings,torn patella tendon in left knee (out for season),Hassan Whiteside,out for season
2011,Kings,sprained right ankle (DNP),Jason Thompson,DNP
2011,Magic,sprained left ankle (DNP),Brandon Bass,DNP
2011,Pistons,sore back (DNP),Jason Maxiell,DNP
2011,Raptors,sprained right knee (DTD),Jerryd Bayless,DTD
2011,Timberwolves,left ankle injury (DTD),Michael Beasley,DTD
2011,Blazers,facial injury (DNP),Dante Cunningham,DNP
2011,Hornets,sprained right ankle (DNP),Trevor Ariza,DNP
2011,Jazz,sprained left ankle (DNP),Andrei Kirilenko,DNP
2011,Pistons,sore back (DNP),Jason Maxiell,DNP
2011,Timberwolves,returned to lineup,Michael Beasley,returned to lineup
2011,Celtics,bruised spinal cord (out indefinitely),Marquis Daniels,out indefinitely
2011,Celtics,sore right leg (DNP),Shaquille O'Neal,DNP
2011,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011,Magic,sprained left ankle (DNP),Brandon Bass,DNP
2011,Celtics,strained right adductor (DNP),Semih Erden,DNP
2011,Celtics,sore right leg (DNP),Shaquille O'Neal,DNP
2011,Jazz,left knee injury (DTD),Francisco Elson,DTD
2011,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011,Magic,sprained left ankle (DNP),Brandon Bass,DNP
